"filename", "language", "HTML", "XML", "JSON", "C#", "CSS", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\jquery.min.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 3, 1, 7
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\font\Symbola.svg", "XML", 0, 5102, 0, 0, 0, 0, 0, 0, 0, 5102
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneral-webfont.svg", "XML", 0, 3318, 0, 0, 0, 0, 0, 0, 0, 3318
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralbol-webfont.svg", "XML", 0, 1738, 0, 0, 0, 0, 0, 0, 0, 1738
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralbolita-webfont.svg", "XML", 0, 1137, 0, 0, 0, 0, 0, 0, 0, 1137
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralitalic-webfont.svg", "XML", 0, 1089, 0, 0, 0, 0, 0, 0, 0, 1089
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\mathquill.css", "CSS", 0, 0, 0, 0, 348, 0, 0, 9, 1, 358
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\mathquill.js", "JavaScript", 0, 0, 0, 0, 0, 2827, 0, 508, 554, 3889
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\mathquill.min.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\umeditor.config.js", "JavaScript", 0, 0, 0, 0, 0, 107, 0, 170, 48, 325
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\umeditor.js", "JavaScript", 0, 0, 0, 0, 0, 7720, 0, 2229, 1058, 11007
"c:\Users\Administrator\Desktop\demo\demo\index.html", "HTML", 841, 0, 0, 0, 0, 0, 0, 9, 12, 862
"c:\Users\Administrator\Desktop\demo\demo\js\JsBarcode.all.min.js", "JavaScript", 0, 0, 0, 0, 0, 3849, 0, 1, 1, 3851
"c:\Users\Administrator\Desktop\demo\demo\js\html2canvas.js", "JavaScript", 0, 0, 0, 0, 0, 6661, 0, 266, 108, 7035
"c:\Users\Administrator\Desktop\demo\demo\js\index.js", "JavaScript", 0, 0, 0, 0, 0, 842, 0, 178, 97, 1117
"c:\Users\Administrator\Desktop\demo\demo\js\jquery-3.2.1.min.js", "JavaScript", 0, 0, 0, 0, 0, 5363, 0, 1, 2, 5366
"c:\Users\Administrator\Desktop\demo\demo\js\jquery-ui.js", "JavaScript", 0, 0, 0, 0, 0, 16644, 0, 871, 1191, 18706
"c:\Users\Administrator\Desktop\demo\demo\js\propeller.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\demo\demo\js\qrcode.min.js", "JavaScript", 0, 0, 0, 0, 0, 3621, 0, 1, 3, 3625
"c:\Users\Administrator\Desktop\demo\demo\js\ref-line.min.js", "JavaScript", 0, 0, 0, 0, 0, 223, 0, 0, 1, 224
"c:\Users\Administrator\Desktop\demo\demo\js\ruler.js", "JavaScript", 0, 0, 0, 0, 0, 452, 0, 3, 48, 503
"c:\Users\Administrator\Desktop\demo\demo\js\z-Dragify.js", "JavaScript", 0, 0, 0, 0, 0, 116, 0, 0, 1, 117
"c:\Users\Administrator\Desktop\demo\demo\test.html", "HTML", 843, 0, 0, 0, 0, 0, 0, 9, 12, 864
"c:\Users\Administrator\Desktop\demo\demo\test.js", "JavaScript", 0, 0, 0, 0, 0, 582, 0, 126, 80, 788
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\emotion\emotion.css", "CSS", 0, 0, 0, 0, 74, 0, 0, 0, 14, 88
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\emotion\emotion.js", "JavaScript", 0, 0, 0, 0, 0, 209, 0, 9, 55, 273
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\formula\formula.css", "CSS", 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\formula\formula.html", "HTML", 196, 0, 0, 0, 0, 0, 0, 0, 16, 212
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\formula\formula.js", "JavaScript", 0, 0, 0, 0, 0, 100, 0, 6, 19, 125
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\image\image.css", "CSS", 0, 0, 0, 0, 30, 0, 0, 3, 10, 43
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\image\image.js", "JavaScript", 0, 0, 0, 0, 0, 338, 0, 22, 86, 446
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\link\link.js", "JavaScript", 0, 0, 0, 0, 0, 67, 0, 3, 4, 74
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\map\map.html", "HTML", 131, 0, 0, 0, 0, 0, 0, 2, 15, 148
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\map\map.js", "JavaScript", 0, 0, 0, 0, 0, 218, 0, 4, 42, 264
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\video\video.css", "CSS", 0, 0, 0, 0, 55, 0, 0, 1, 3, 59
"c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\video\video.js", "JavaScript", 0, 0, 0, 0, 0, 220, 0, 33, 30, 283
"c:\Users\Administrator\Desktop\demo\demo\umeditor\jsp\Uploader.java", "Java", 0, 0, 0, 0, 0, 0, 189, 45, 27, 261
